calls	60656
3_self_span	7	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/emit_model.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/error_primitives.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/graph.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/http_path.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/induction.dag
3_self_span	17	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/integer.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/interface_summary.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/keyed_roster.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/keyed_row.dag
3_self_span	10	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/measure.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/occurrence_binding.dag
3_self_span	59	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/occurrence_binding_candidates.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/occurrence_binding_resolve.dag
3_self_span	26	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/occurrence_identity.dag
3_self_span	10	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/pareto.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/process_termination.dag
3_self_span	48	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/realization_schedule.dag
3_self_span	15	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/reference_binding_observation.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/roster_frontier.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/serialization.dag
3_self_span	17	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/source_annotation.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/syntax.dag
3_self_span	10	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/termination.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/trait_derive_shape.dag
3_self_span	58	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/types.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/unicode/types.dag
3_self_span	14	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	dag/std/witness_admission.dag
3_self_span	121	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/00_core.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/01_tokenize.dag
3_self_span	24	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/02_parse.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/03_resolve.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_cycle.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_emit_info.dag
3_self_span	18	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_env.dag
3_self_span	22	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_infer.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_items.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_lookup.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_occurrence_binding.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_service.dag
3_self_span	7	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_sigs.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/04_types.dag
3_self_span	14	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/05_emit.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/05_emit_core_support.dag
3_self_span	23	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/05_emit_rust.dag
3_self_span	16	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/artifact.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/coercion.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/compile.dag
3_self_span	29	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/complexity.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/dag_collect_support.dag
3_self_span	15	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/expected_red_roster_join.dag
3_self_span	6	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/frontend_observation.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/gunbc/occurrence_binding_parser_walk.dag
3_self_span	137	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/languages.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/ownership.dag
3_self_span	11	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/stage0_crates.dag
3_self_span	13	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/trace.dag
3_self_span	5	src/v1/stage0/src/v1_compiler_emit_rust.rs:12606	src/v1/trait_derive_emit.dag
3_self_span	9	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/effects.dag
1_resolved_span	10	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/keyed_roster.dag
1_resolved_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/keyed_row.dag
1_resolved_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/occurrence_binding_candidates.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/occurrence_binding_candidates.dag
1_resolved_span	3	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/occurrence_binding_resolve.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/occurrence_binding_resolve.dag
1_resolved_span	4	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/occurrence_identity.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/occurrence_identity.dag
1_resolved_span	1	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/roster_frontier.dag
1_resolved_span	2	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	dag/std/termination.dag
1_resolved_span	9	src/v1/stage0/src/v1_compiler_emit_rust.rs:1638	src/v1/02_parse.dag
