code	block	manifestation	file	line	col	expected	found	mechanism	e0308_candidate_projection	message
E0308	152	1	src/v2_std_integer.rs	1374	46	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	153	1	src/v2_std_integer.rs	1377	50	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	154	1	src/v2_std_integer.rs	1380	54	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	155	1	src/v2_std_integer.rs	1383	58	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0308	156	1	src/v2_std_integer.rs	1400	30	Rc<Nat>	{integer}	UNCLASSIFIED	B3	mismatched types
E0369	157	1	src/v2_std_integer.rs	1403	31			UNCLASSIFIED		binary operation `<` cannot be applied to type `Rc<v2_std_nat::Nat>`
E0369	158	1	src/v2_std_integer.rs	1407	47			UNCLASSIFIED		cannot divide `Rc<v2_std_nat::Nat>` by `{integer}`
E0599	159	1	src/v2_compiler_tokenize.rs	331	54			UNCLASSIFIED		no method named `apply` found for struct `Rc<LexMatchThunk>` in the current scope
E0599	160	1	src/v2_compiler_tokenize.rs	333	104			UNCLASSIFIED		no method named `apply` found for struct `Rc<LexMatchThunk>` in the current scope
E0599	161	1	src/v2_compiler_tokenize.rs	343	54			UNCLASSIFIED		no method named `apply` found for struct `Rc<LexMatchThunk>` in the current scope
E0599	162	1	src/v2_compiler_tokenize.rs	348	57			UNCLASSIFIED		no method named `apply` found for struct `Rc<LexMatchThunk>` in the current scope
E0599	163	1	src/v2_compiler_tokenize.rs	352	54			UNCLASSIFIED		no method named `apply` found for struct `Rc<LexMatchThunk>` in the current scope
E0599	164	1	src/v2_compiler_tokenize.rs	377	54			UNCLASSIFIED		no method named `apply` found for struct `Rc<LexMatchThunk>` in the current scope
E0599	165	1	src/v2_compiler_tokenize.rs	393	54			UNCLASSIFIED		no method named `apply` found for struct `Rc<LexMatchThunk>` in the current scope
E0560	166	1	src/v2_extdeps_runtimes_v2_effect_io_pure.rs	119	5			UNCLASSIFIED		struct `Rc<PartialFunction<_, _>>` has no field named `lookup`
E0308	167	1	src/v2_extdeps_runtimes_v2_effect_io_pure.rs	118	23	HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>>	Rc<PartialFunction<_, _>>	UNCLASSIFIED	T3	mismatched types
E0614	168	1	src/v2_extdeps_runtimes_v2_effect_io_pure.rs	211	15			UNCLASSIFIED		type `std::option::Option<Rc<RuntimeValue>>` cannot be dereferenced
E0599	169	1	src/v2_std_symbol_index.rs	116	20			UNCLASSIFIED		no variant, associated function, or constant named `GlobalBareAmbiguous` found for enum `std::option::Option<T>` in the current scope
E0599	170	1	src/v2_std_symbol_index.rs	117	20			UNCLASSIFIED		no variant named `GlobalBareUnique` found for enum `std::option::Option<_>`
E0599	171	1	src/v2_std_symbol_index.rs	151	20			UNCLASSIFIED		no variant named `GlobalBareUnique` found for enum `std::option::Option<_>`
E0599	172	1	src/v2_std_symbol_index.rs	154	20			UNCLASSIFIED		no variant, associated function, or constant named `GlobalBareAmbiguous` found for enum `std::option::Option<T>` in the current scope
E0599	173	1	src/v2_compiler_materialization_carriers.rs	188	59			ABSENT_CLONE_BOUND		no method named `clone` found for type parameter `A` in the current scope
E0277	174	1	src/v2_compiler_materialization_carriers.rs	188	50			ABSENT_CLONE_BOUND		the trait bound `B: Clone` is not satisfied
E0599	175	1	src/v2_compiler_materialization_carriers.rs	188	86			ABSENT_CLONE_BOUND		no method named `clone` found for type parameter `A` in the current scope
E0277	176	1	src/v2_compiler_materialization_carriers.rs	188	84			ABSENT_CLONE_BOUND		the trait bound `A: Clone` is not satisfied
E0599	177	1	src/v2_compiler_materialization_carriers.rs	189	22			ABSENT_CLONE_BOUND		no method named `clone` found for type parameter `A` in the current scope
E0282	178	1	src/v2_std_find_witness.rs	77	67			UNCLASSIFIED		type annotations needed
E0061	179	1	src/v2_std_find_witness.rs	77	5			UNCLASSIFIED		this function takes 2 arguments but 3 arguments were supplied
E0614	180	1	src/v2_std_compilers_target_model.rs	442	11			UNCLASSIFIED		type `std::option::Option<_>` cannot be dereferenced
E0614	181	1	src/v2_std_compilers_target_model.rs	534	105			UNCLASSIFIED		type `std::option::Option<_>` cannot be dereferenced
E0614	182	1	src/v2_std_compilers_target_model.rs	544	100			UNCLASSIFIED		type `std::option::Option<_>` cannot be dereferenced
E0308	183	1	src/v2_std_compilers_target_model.rs	2137	43	i64	String	UNCLASSIFIED	RESIDUE	mismatched types
E0308	184	1	src/v2_std_compilers_target_model.rs	2384	15	String	i64	UNCLASSIFIED	RESIDUE	mismatched types
E0308	185	1	src/v2_std_compilers_target_model.rs	2647	62	HashMap<_, _>	Rc<HashMap<_, _>>	UNCLASSIFIED	R1	mismatched types
E0614	186	1	src/v2_std_compilers_target_model.rs	2647	11			UNCLASSIFIED		type `std::option::Option<_>` cannot be dereferenced
E0308	187	1	src/v2_std_compilers_target_model.rs	7002	90	TargetUseSiteOwnershipLookup	TargetUseSiteOwnershipCatalogLookup	UNCLASSIFIED	RESIDUE	mismatched types
