v2.test.claim.generated_conformance_floor.generated_cross_representation_equality_covers_optional_null	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_cross_representation_equality_covers_optional_null	no such function: witness_cross_representation_equality_covers_optional_null
v2.test.claim.generated_conformance_floor.generated_refinement_preserves_nonempty_list_base	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_refinement_preserves_nonempty_list_base	no such function: witness_refinement_preserves_nonempty_list_base
v2.test.claim.generated_conformance_floor.generated_refinement_subject_anchor_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_refinement_preservation_subject_anchor	no such function: witness_refinement_preservation_subject_anchor
v2.test.claim.generated_conformance_floor.generated_refinement_scheduler_emits_one_generator	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	witness_refinement_preservation_scheduler_emits_one_generator	no such function: witness_refinement_preservation_scheduler_emits_one_generator
v2.test.claim.generated_conformance_floor.generated_refinement_claim_emits	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	claim_refinement_nonempty_list_base_preserved	no such function: claim_refinement_nonempty_list_base_preserved
v2.test.claim.generated_conformance_floor.generated_lbe_conj_snapshot_passes	REFERENCE-UNAVAILABLE	R3-test-decl-in-test-module	witness_lbe_conj_snapshot_pass	no such function: witness_lbe_conj_snapshot_pass
v2.test.claim.generated_conformance_floor.generated_lbe_disj_snapshot_passes	REFERENCE-UNAVAILABLE	R3-test-decl-in-test-module	witness_lbe_disj_snapshot_pass	no such function: witness_lbe_disj_snapshot_pass
v2.test.claim.generated_conformance_floor.generated_lbe_transform_snapshot_passes	REFERENCE-UNAVAILABLE	R3-test-decl-in-test-module	witness_lbe_transform_snapshot_pass	no such function: witness_lbe_transform_snapshot_pass
v2.test.claim.generated_conformance_floor.generated_lbe_schedules_three_generators	REFERENCE-UNAVAILABLE	R3-test-decl-in-test-module	witness_testgen_schedules_three_lbe_generators	no such function: witness_testgen_schedules_three_lbe_generators
v2.test.claim.generated_conformance_floor.generated_lbe_dag_surface_language_identity	REFERENCE-UNAVAILABLE	R3-test-decl-in-test-module	witness_dag_surface_language_identity	no such function: witness_dag_surface_language_identity
v2.test.claim.generated_conformance_floor.generated_witness_validity_constraint_satisfaction_emits	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	row_witness_validity_constraint_satisfaction_holds	no such function: row_witness_validity_constraint_satisfaction_holds
v2.test.claim.generated_conformance_floor.generated_witness_validity_property_symbol_mismatch_emits	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	row_witness_validity_property_symbol_mismatch	no such function: row_witness_validity_property_symbol_mismatch
v2.test.claim.generated_conformance_floor.generated_witness_validity_evidence_node_mismatch_emits	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	row_witness_validity_evidence_node_mismatch	no such function: row_witness_validity_evidence_node_mismatch
v2.test.claim.generated_conformance_floor.generated_witness_validity_rule_not_realized_emits	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	row_witness_validity_rule_not_realized	no such function: row_witness_validity_rule_not_realized
v2.test.claim.gha_workflow_yaml_fold_structural.gha_fold_structural_tier_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	gha_fold_pilot_job	no such function: gha_fold_pilot_job
v2.test.intent_linearity.lens_unit.runtime_axis.nested_loop_cost_is_lowerable	REFERENCE-UNAVAILABLE	R2-fn-in-unimported-module	symbolic_cost_of_node	no such function: symbolic_cost_of_node
v2.test.intent_linearity.lens_unit.runtime_axis.flat_loop_cost_not_lowerable	REFERENCE-UNAVAILABLE	R2-fn-in-unimported-module	symbolic_cost_of_node	no such function: symbolic_cost_of_node
v2.test.intent_linearity.lens_unit.runtime_axis.nested_loop_is_runtime_candidate	REFERENCE-UNAVAILABLE	R2-fn-in-unimported-module	chain_is_simulated	no such function: chain_is_simulated
